val/loss,val/acc,val/prec,val/rec,val/preds_sum,val/targets_sum,val/acc_best,val/loss_best,epoch,step,train/loss,train/acc,train/prec,train/rec,train/preds_sum,train/targets_sum,train/acc_best,train/loss_best,test/loss,test/acc,test/prec,test/rec,test/preds_sum,test/targets_sum,test/TP_epoch,test/FP_epoch,test/TN_epoch,test/FN_epoch,test/acc_epoch,test/prec_epoch,test/rec_epoch,test/preds_sum_epoch,test/targets_sum_epoch
0.177733913064003,0.128960981965065,0.0,0.0,0.0,9684.2998046875,0.18384331464767456,0.177733913064003,0,36,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,36,0.15939508378505707,0.11547420173883438,0.00010230464249616489,0.027027027681469917,0.5945945978164673,7570.5673828125,0.11547420173883438,0.15939508378505707,,,,,,,,,,,,,,,
0.18738847970962524,0.5884443521499634,0.47980833053588867,0.9897356033325195,300.79998779296875,9684.2998046875,0.5884443521499634,0.177733913064003,1,73,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,73,0.14860515296459198,0.3637475073337555,0.29555803537368774,0.9658944606781006,2129.027099609375,7570.5673828125,0.3637475073337555,0.14860515296459198,,,,,,,,,,,,,,,
0.18869128823280334,0.38671788573265076,0.26913613080978394,0.5874516367912292,159.39999389648438,9684.2998046875,0.5884443521499634,0.177733913064003,2,110,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,110,0.14191989600658417,0.47113269567489624,0.4216855466365814,0.9611909985542297,3164.486572265625,7570.5673828125,0.47113269567489624,0.14191989600658417,,,,,,,,,,,,,,,
0.18234029412269592,0.5153917670249939,0.40678343176841736,0.9872034192085266,400.1000061035156,9684.2998046875,0.5884443521499634,0.177733913064003,3,147,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,147,0.14402048289775848,0.48706385493278503,0.4353032410144806,0.9666991233825684,3268.13525390625,7570.5673828125,0.48706385493278503,0.14191989600658417,,,,,,,,,,,,,,,
0.17504870891571045,0.5378018617630005,0.43886369466781616,0.9781290292739868,1139.699951171875,9684.2998046875,0.5884443521499634,0.17504870891571045,4,184,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,184,0.1309061050415039,0.5224225521087646,0.47733771800994873,0.9692039489746094,3447.027099609375,7570.5673828125,0.5224225521087646,0.1309061050415039,,,,,,,,,,,,,,,
0.17566028237342834,0.43461018800735474,0.3218768239021301,0.9861812591552734,275.1000061035156,9684.2998046875,0.5884443521499634,0.17504870891571045,5,221,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,221,0.13396039605140686,0.5510315895080566,0.5049213171005249,0.9723703265190125,3672.594482421875,7570.5673828125,0.5510315895080566,0.1309061050415039,,,,,,,,,,,,,,,
0.1981801688671112,0.5021124482154846,0.39637836813926697,0.9834607839584351,662.0999755859375,9684.2998046875,0.5884443521499634,0.17504870891571045,6,258,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,258,0.13216286897659302,0.5918692350387573,0.5528650879859924,0.9721059203147888,4192.10791015625,7570.5673828125,0.5918692350387573,0.1309061050415039,,,,,,,,,,,,,,,
0.11210880428552628,0.8251740336418152,0.7905613780021667,0.9881068468093872,6330.5,9684.2998046875,0.8251740336418152,0.11210880428552628,7,295,,,,,,,,,,,,,,,,,,,,,,,
