~iteration~,alpha,beta,base
13677,2,50,0.5
13727,2,50,0.5
13777,2,50,0.5
13818,2,50,0.5
13868,2,50,0.5
13918,2,50,0.5
13959,2,50,0.5
14009,2,50,0.5
14059,2,50,0.5
14100,2,50,0.5
14150,2,50,0.5
14200,2,50,0.5
14241,2,50,0.5
14291,2,50,0.5
14341,2,50,0.5
14382,2,50,0.5
14432,2,50,0.5
14482,2,50,0.5
14523,2,50,0.5
14573,2,50,0.5
14623,2,50,0.5
14664,2,50,0.5
14714,2,50,0.5
14764,2,50,0.5
14805,2,50,0.5
14855,2,50,0.5
14905,2,50,0.5
14946,2,50,0.5
14996,2,50,0.5
15046,2,50,0.5
15087,2,50,0.5
15137,2,50,0.5
15187,2,50,0.5
15228,2,50,0.5
15278,2,50,0.5
15328,2,50,0.5
15369,2,50,0.5
15419,2,50,0.5
15469,2,50,0.5
15510,2,50,0.5
15560,2,50,0.5
15610,2,50,0.5
15651,2,50,0.5
15701,2,50,0.5
15751,2,50,0.5
15792,2,50,0.5
15842,2,50,0.5
15892,2,50,0.5
15933,2,50,0.5
15983,2,50,0.5
16033,2,50,0.5
16074,2,50,0.5
16124,2,50,0.5
16174,2,50,0.5
16215,2,50,0.5
16265,2,50,0.5
16315,2,50,0.5
16356,2,50,0.5
16406,2,50,0.5
16456,2,50,0.5
16497,2,50,0.5
16547,2,50,0.5
16597,2,50,0.5
16638,2,50,0.5
16688,2,50,0.5
16738,2,50,0.5
16779,2,50,0.5
16829,2,50,0.5
16879,2,50,0.5
16920,2,50,0.5
16970,2,50,0.5
17020,2,50,0.5
17061,2,50,0.5
17111,2,50,0.5
17161,2,50,0.5
17202,2,50,0.5
17252,2,50,0.5
17302,2,50,0.5
17343,2,50,0.5
17393,2,50,0.5
17443,2,50,0.5
17484,2,50,0.5
17534,2,50,0.5
17584,2,50,0.5
17625,2,50,0.5
17675,2,50,0.5
17725,2,50,0.5
17766,2,50,0.5
17816,2,50,0.5
17866,2,50,0.5
17907,2,50,0.5
17957,2,50,0.5
18007,2,50,0.5
18048,2,50,0.5
18098,2,50,0.5
18148,2,50,0.5
18189,2,50,0.5
18239,2,50,0.5
18289,2,50,0.5
18330,2,50,0.5
18380,2,50,0.5
18430,2,50,0.5
18471,2,50,0.5
18521,2,50,0.5
18571,2,50,0.5
18612,2,50,0.5
18662,2,50,0.5
18712,2,50,0.5
18753,2,50,0.5
18803,2,50,0.5
18853,2,50,0.5
18894,2,50,0.5
18944,2,50,0.5
18994,2,50,0.5
19035,2,50,0.5
19085,2,50,0.5
19135,2,50,0.5
19176,2,50,0.5
19226,2,50,0.5
19276,2,50,0.5
19317,2,50,0.5
19367,2,50,0.5
19417,2,50,0.5
19458,2,50,0.5
19508,2,50,0.5
19558,2,50,0.5
19599,2,50,0.5
19649,2,50,0.5
19699,2,50,0.5
19740,2,50,0.5
19790,2,50,0.5
19840,2,50,0.5
19881,2,50,0.5
19931,2,50,0.5
19981,2,50,0.5
20022,2,50,0.5
20072,2,50,0.5
20122,2,50,0.5
20163,2,50,0.5
20213,2,50,0.5
20263,2,50,0.5
20304,2,50,0.5
20354,2,50,0.5
20404,2,50,0.5
20445,2,50,0.5
20495,2,50,0.5
20545,2,50,0.5
20586,2,50,0.5
20636,2,50,0.5
20686,2,50,0.5
20727,2,50,0.5
20777,2,50,0.5
20827,2,50,0.5
20868,2,50,0.5
20918,2,50,0.5
20968,2,50,0.5
21009,2,50,0.5
21059,2,50,0.5
21109,2,50,0.5
21150,2,50,0.5
21200,2,50,0.5
21250,2,50,0.5
21291,2,50,0.5
21341,2,50,0.5
21391,2,50,0.5
21432,2,50,0.5
21482,2,50,0.5
21532,2,50,0.5
21573,2,50,0.5
21623,2,50,0.5
21673,2,50,0.5
21714,2,50,0.5
21764,2,50,0.5
21814,2,50,0.5
21855,2,50,0.5
