~iteration~,metric_loss,total_loss
0,0.8676327466964722,0.8676327466964722
50,0.5558764338493347,0.5558764338493347
100,0.368990421295166,0.368990421295166
141,0.42536336183547974,0.42536336183547974
191,0.34070461988449097,0.34070461988449097
241,0.1497117578983307,0.1497117578983307
282,0.3436143398284912,0.3436143398284912
332,0.22451528906822205,0.22451528906822205
382,0.20671223104000092,0.20671223104000092
423,0.12948980927467346,0.12948980927467346
473,0.011736555956304073,0.011736555956304073
523,0.23365584015846252,0.23365584015846252
564,0.31011998653411865,0.31011998653411865
614,0.18579944968223572,0.18579944968223572
664,0.1770247220993042,0.1770247220993042
705,0.11874723434448242,0.11874723434448242
755,0.09389220178127289,0.09389220178127289
805,0.14411431550979614,0.14411431550979614
846,0.05142340064048767,0.05142340064048767
896,0.06509838253259659,0.06509838253259659
946,0.10374722629785538,0.10374722629785538
987,0.24195349216461182,0.24195349216461182
1037,0.09443742036819458,0.09443742036819458
1087,0.11495941132307053,0.11495941132307053
1128,0.30902573466300964,0.30902573466300964
1178,0.038180265575647354,0.038180265575647354
1228,0.1143002063035965,0.1143002063035965
1269,0.1390155702829361,0.1390155702829361
1319,0.020649895071983337,0.020649895071983337
1369,0.05392475798726082,0.05392475798726082
1410,0.1443881392478943,0.1443881392478943
1460,0.043733008205890656,0.043733008205890656
1510,0.14085622131824493,0.14085622131824493
1551,0.0637991800904274,0.0637991800904274
1601,0.0,0.0
1651,0.12264010310173035,0.12264010310173035
1692,0.020670991390943527,0.020670991390943527
1742,0.059262510389089584,0.059262510389089584
1792,0.12285614758729935,0.12285614758729935
1833,0.1094525083899498,0.1094525083899498
1883,0.0,0.0
1933,0.18042822182178497,0.18042822182178497
1974,0.15588244795799255,0.15588244795799255
2024,0.1884470283985138,0.1884470283985138
2074,0.22322843968868256,0.22322843968868256
2115,0.08427425473928452,0.08427425473928452
2165,0.03289840370416641,0.03289840370416641
2215,0.0,0.0
2256,0.03918075934052467,0.03918075934052467
2306,0.20582440495491028,0.20582440495491028
2356,0.0855695977807045,0.0855695977807045
2397,0.20859462022781372,0.20859462022781372
2447,0.031459830701351166,0.031459830701351166
2497,0.13280194997787476,0.13280194997787476
2538,0.02405831590294838,0.02405831590294838
2588,0.034151412546634674,0.034151412546634674
2638,0.024814676493406296,0.024814676493406296
2679,0.08090627193450928,0.08090627193450928
2729,0.023029934614896774,0.023029934614896774
2779,0.0,0.0
2820,0.08074220269918442,0.08074220269918442
2870,0.016894524917006493,0.016894524917006493
2920,0.0,0.0
2961,0.06285160779953003,0.06285160779953003
3011,0.1768597513437271,0.1768597513437271
3061,0.06507325172424316,0.06507325172424316
3102,0.14191776514053345,0.14191776514053345
3152,0.0656374916434288,0.0656374916434288
